Available for sale from Priscilla Fowler Fine Art,David Baird,For the Birds Series #4,2019,Mixed media collage on white substrate,17 × 13 in,2019,215
Available for sale from Priscilla Fowler Fine Art,Robynn Smith,Chex,2005,Monotype/Chine Colle,24 × 18 in,2005,500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Pentagram,2016,Oil on board,48 × 24 in,2016,3000
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Feminine Touch,2019,Acrylic on gessobord,24 × 30 in,2019,4500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Wraiths of Miller House,2010,Oil with gold leaf on board,72 × 36 in,2010,6000
From Priscilla Fowler Fine Art,José M. Fontaiña,Caught on Camera,2018,Acrylic on gessobord,30 × 30 in,2018,4000
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Pond,2009,Painting on Paper,14 × 22 in,2009,850
Available for sale from Priscilla Fowler Fine Art,Katie Klemp,Aberration,2007,Oil on canvas,24 × 36 in,2007,975
Available for sale from Priscilla Fowler Fine Art,Cheryl Magellen,Giant Boulders,2022,Acrylic on panel,12 × 12 in,2022,575
Available for sale from Priscilla Fowler Fine Art,Michael Scott Richardson,Woman with Hat,2020,Mixed media on canvas,24 × 18 in,2020,450
Available for sale from Priscilla Fowler Fine Art,Alexander Sky,MesoAmerican Memory,2019,Mixed media on canvas,36 × 36 in,2019,2000
Available for sale from Priscilla Fowler Fine Art,Michael Scott Richardson,The Cost of Good,2018,Mixed media on canvas,36 × 36 in,2018,1050
Available for sale from Priscilla Fowler Fine Art,PWOZ,O,2019,Acrylic and spray paint on canvas,44 × 30 in,2019,1400
From Priscilla Fowler Fine Art,Ruben Permel,The Ledge,2020,Acrylic on canvas,36 × 24 in,2020,150
Available for sale from Priscilla Fowler Fine Art,PWOZ,W,2019,Acrylic and spray paint on canvas,44 × 33 in,2019,1400
Available for sale from Priscilla Fowler Fine Art,Anne Hoff,Circuitous Cycles,2019,Stone and polymer lithograph on paper,15 × 15 in,2019,150
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Portrait of Two Young Men,2020,Acrylic on panel,30 × 28 in,2020,400
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Out of the Woods,2017,Oil on board,24 × 24 in,2017,2500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Dream of the Shepherdess's Ghost,2018,Oil on board,34 × 24 in,2018,3000
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Sol and Luna Have a Conversation,2015,Oil on canvas,84 × 60 in,2015,7000
Available for sale from Priscilla Fowler Fine Art,Katie Klemp,Brunch,2019,Acrylic,16 × 20 in,2019,550
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Sunday Project,2012,Acrylic on Canvas,36 × 48 in,2012,3500
From Priscilla Fowler Fine Art,Katie Klemp,Family Reunion,2020,Acrylic,24 × 24 in,2020,1150
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Sleeping at the Louvre Frozen in Flight,2020,Oil on board,24 × 12 in,2020,1200
Available for sale from Priscilla Fowler Fine Art,David Baird,Whirling Wheel (set of 9),2020,Mixed media on paper,17 × 13 in,2020,215
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,At the Eclipse,2017,Oil on canvas,60 × 40 in,2017,4500
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled No 189 (looking for rhyme or reason),2002,Acrylic on paper,29 × 23 in,2002,3000
Available for sale from Priscilla Fowler Fine Art,Daniel Mauk,Kitty,2021,Oil on paper,11 × 8 in,2021,500
Available for sale from Priscilla Fowler Fine Art,Joseph Watson,The Main Street,2018,Acrylic on Canvas,18 × 36 in,2018,2500
Available for sale from Priscilla Fowler Fine Art,Dr. R,Creating a Dream; Nouveau avian Pythagorum,2018,"Acrylic, Oil, and Spray Paint",48 × 48 in,2018,3300
Available for sale from Priscilla Fowler Fine Art,3 Baad Sheep,Laugh Again Punk,2010,Mixed media,31 × 29 in,2010,6000
Available for sale from Priscilla Fowler Fine Art,Cheryl Magellen,Desert Icon,2022,Acrylic on panel,12 × 12 in,2022,575
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,'Preciate it Man!,2019,Acrylic on Canvas,36 × 48 in,2019,3400
Available for sale from Priscilla Fowler Fine Art,David Baird,Lament #8,2021,Mixed media on paper,17 × 13 in,2021,220
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Harvest,2022,Acrylic on hard board,25 × 23 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,I Will Follow You Anywhere,2019,Acrylic on Canvas,36 × 48 in,2019,3400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,We're Stronger Together,2019,Acrylic on Canvas,48 × 60 in,2019,5700
Available for sale from Priscilla Fowler Fine Art,Dr. R,Cybernetic Metamorphsis,2021,"Acrylic, Spray Paint and 24 kt Gold Leaf",40 × 30 in,2021,3100
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Larkin,2019,Oil on canvas,40 × 30 in,2019,3000
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Live and Let Live,2019,Acrylic on Canvas,48 × 48 in,2019,4600
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Area 51,2021,Oil on Canvas,36 × 48 in,2021,3450
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,You Have a Brain,2019,Acrylic on Canvas,30 × 30 in,2019,1800
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Purple Haze Too,2011,Acrylic on Canvas,36 × 48 in,2011,3400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Mechanica III,2013,Acrylic on Canvas,48 × 48 in,2013,4600
Available for sale from Priscilla Fowler Fine Art,Daniel Mauk,Wild Horse GC: Early Morning ,2022,Oil on paper,13 × 16 in,2022,500
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,From Nothing Comes Everything,2011,Acrylic on Canvas,48 × 60 in,2011,5700
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Homage,2012,Acrylic on Canvas,36 × 60 in,2012,4300
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Sunflower,2022,"Acrylic, hardboard",20 × 24 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Floating,2020,Oil on Canvas,30 × 30 in,2020,1800
Available for sale from Priscilla Fowler Fine Art,Hayden Senter,Should've,2017,Graphite,9 × 12 in,2017,150
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Different II,2011,Acrylic on Canvas,18 × 24 in,2011,860
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Chained,2012,Acrylic on Canvas,30 × 48 in,2012,2800
Available for sale from Priscilla Fowler Fine Art,Lisa Polonet,Gazing Into The Next Realm,2022,Metal Print,24 × 16 in,2022,525
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Four Small Houses,2022,"Acrylic, hardboard",20 × 24 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Hayden Senter,He Who Waits Despears,2015,Lithograph,15 × 11 in,2015,200
Available for sale from Priscilla Fowler Fine Art,Priscilla Fowler,Nest (installation),2015,Ink on mylar,50 × 73 in,2015,6000
Available for sale from Priscilla Fowler Fine Art,Rosanne Giacomini,Angels,2014,Natural materials,25 × 18 in,2014,495
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Hand with Plum,2016,Oil on Canvas,8 × 10 in,2016,400
Available for sale from Priscilla Fowler Fine Art,Stephanie Serpick,A New Fall 6 ,2017,Oil on panel,16 × 20 in,2017,5000
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Painting on a Roll,2016,Acrylic on gessobord,24 × 36 in,2016,5000
Available for sale from Priscilla Fowler Fine Art,Ken Farkash,Maquette Study,2019,Enamel and steel on wood panel,10 × 8 in,2019,225
Available for sale from Priscilla Fowler Fine Art,3 Baad Sheep,Sometimes No is the Answer,2016,Mixed media,46 × 63 in,2016,1800
Available for sale from Priscilla Fowler Fine Art,David Neufeld,"Corrubedo, Galicia",2019,Printed on paper or aluminum,28 × 40 in,2019,750
Available for sale from Priscilla Fowler Fine Art,Eva Celin,Untitled,2017,Acrylic on canvas board,10 × 8 in,2017,400
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,The Four Elements,2015,Oil on canvas,96 × 54 in,2015,8000
Available for sale from Priscilla Fowler Fine Art,David Baird,Tearing the Veil #9,2019,Mixed Media,19 × 26 in,2019,1200
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Whip,2020,Oil,16 × 20 in,2020,360
Available for sale from Priscilla Fowler Fine Art,David Baird,Triangle Study #6,2019,Collage on Paper,17 × 13 in,2019,215
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Lunar Prophecies,2012,Oil with gold leaf on canvas,32 × 24 in,2012,4000
Available for sale from Priscilla Fowler Fine Art,Lisa Polonet,Thru the Glass,2021,Metal print,8 × 6 in,2021,135
Available for sale from Priscilla Fowler Fine Art,Julie Tarsha,Loss at the Cellular Level,2021,Acrylic mixed media,24 × 18 in,2021,625
Available for sale from Priscilla Fowler Fine Art,Dr. R,War-Shamm's Creation,2020,Acrylic on Canvas,40 × 30 in,2020,2700
Available for sale from Priscilla Fowler Fine Art,David Baird,Triangle Study #4,2019,Collage on Paper,17 × 13 in,2019,215
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Figure with Possessions,2021,Acrylic on Canvas yarn gold leaf,48 × 54 in,2021,1600
Available for sale from Priscilla Fowler Fine Art,Alexander Lui,Mystic Spring,2017,Ink on Paper,22 × 30 in,2017,3356
Available for sale from Priscilla Fowler Fine Art,Benjamin Schmitt,Love and Loss,2020,Mixed media on panel,24 × 24 in,2020,2500
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Air,2018,Painting on Paper,15 × 21 in,2018,850
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Art is Music to My Eyes,2019,Acrylic on gessobord,30 × 30 in,2019,4000
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Electric,2011,Acrylic on Canvas,30 × 40 in,2011,2400
Available for sale from Priscilla Fowler Fine Art,Dr. R,Tropical Saphire,2019,Acrylic and Spray Paint,48 × 36 in,2019,3100
From Priscilla Fowler Fine Art,José M. Fontaiña,I'm Out!,2019,Acrylic on gessobord,30 × 30 in,2019,4000
Available for sale from Priscilla Fowler Fine Art,Linda Shaffer,Little Flyer,2021,Mixed Media,12 × 12 in,2021,325
Available for sale from Priscilla Fowler Fine Art,Lolita Develay,Rococo's Basilish featuring Baby Champurrado,2018,Oil on canvas,60 × 48 in,2018,5500
Available for sale from Priscilla Fowler Fine Art,David Baird,What He Has Bent #10,2020,Mixed media monotype,22 × 15 in,2020,1200
Available for sale from Priscilla Fowler Fine Art,Linda Shaffer,Singing in theShower,2020,Mixed Media,12 × 12 in,2020,325
Available for sale from Priscilla Fowler Fine Art,Christina Piña,Navigating the Abyss,2021,Oil on gessoed watercolor paper,16 × 16 in,2021,475
Available for sale from Priscilla Fowler Fine Art,David Baird,Cairn (set of 12),2020,Mixed media on paper,17 × 13 in,2020,215
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Duet,2010,Mixed Media,38 × 48 in,2010,900
From Priscilla Fowler Fine Art,Zully Mejia,CC,2019,Oil and acrylic on canvas,24 × 12 in,2019,450
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,It's a Thorny Subject,2019,Acrylic on Canvas,24 × 30 in,2019,1400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,What Goes Around,2019,Acrylic on Canvas,30 × 48 in,2019,2900
Available for sale from Priscilla Fowler Fine Art,Dray,Unlocked,2021,Matted and framed print on paper,8 × 8 in,2021,150
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,"Fields of Grass, Forests of Green",2019,Acrylic on Canvas,36 × 36 in,2019,2600
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,No Kidding,2019,Acrylic on Canvas,24 × 24 in,2019,1100
Available for sale from Priscilla Fowler Fine Art,Dray,Bri II,2022,Mixed media on paper,25 × 19 in,2022,1000
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,The Offering,2016,Oil on canvas,20 × 16 in,2016,1500
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,What Would Jesus Do,2019,Acrylic on Canvas,24 × 36 in,2019,1700
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled No 520 (foot loose and fancy free) ,2013,Acrylic on canvas,60 × 48 in,2013,6000
Available for sale from Priscilla Fowler Fine Art,Miss Julia Grey,Freda with Pink Carnations,2022,Acrylic over photo on canvas,40 × 30 in,2022,800
Available for sale from Priscilla Fowler Fine Art,Frederic Bonin Pissarro,Las Vegas 2020,2019,Mixed Media on Canvas,60 × 48 in,2019,3300
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Which of These is Not Like the Others?,2011,Acrylic on Canvas,30 × 40 in,2011,2400
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Mappamundi,2016,Oil on canvas,24 × 30 in,2016,2000
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Do the Right Thing,2019,Acrylic on Canvas,24 × 30 in,2019,1400
From Priscilla Fowler Fine Art,Ruben Permel,Waiting,2020,Acrylic and mixed media on gallery canvas,48 × 48 in,2020,1750
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Comes From Within,2019,Acrylic on Canvas,24 × 36 in,2019,1700
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Quandry,2012,Acrylic on Canvas,30 × 40 in,2012,2400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Bow to the Spirit Within,2019,Acrylic on Canvas,30 × 40 in,2019,2400
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Idol,2022,"Acrylic, gold foil, hardboard",18 × 20 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Armand Thomas,Derwin Bank,1984,Printed on paper,11 × 17 in,1984,200
Available for sale from Priscilla Fowler Fine Art,KD Matheson,RIGEL,2021,Acrylic on paper,610 × 40 in,2021,3200
Available for sale from Priscilla Fowler Fine Art,KD Matheson,KATAR,2022,Acrylic on Paper,60 × 40 in,2022,3200
Available for sale from Priscilla Fowler Fine Art,Ken Farkash,Which Came First,2019,"Enamel, wood, and steel on wood panel",8 × 8 in,2019,195
Available for sale from Priscilla Fowler Fine Art,KD Matheson,BABEL,2021,Acrylic on Paper,40 × 30 in,2021,2600
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Gotham,2021,Oil on Canvas,36 × 36 in,2021,2600
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Mechanica II,2013,Acrylic on Canvas,48 × 48 in,2013,4600
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled 517 (secure structure) ,2013,Acrylic on canvas,60 × 48 in,2013,6000
Available for sale from Priscilla Fowler Fine Art,Dray,Muse Factor,2018,Print on Paper,35 × 24 in,2018,420
Available for sale from Priscilla Fowler Fine Art,Jeff Fulmer,Aven Nelson's Phacelia,2014,Acrylic,24 × 18 in,2014,1150
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled No 567 (under the big top),2013,Acrylic on canvas,60 × 48 in,2013,6000
Available for sale from Priscilla Fowler Fine Art,Stephanie Serpick,What Remains #21,2020,Watercolor,9 × 12 in,2020,850
Available for sale from Priscilla Fowler Fine Art,Rebekah Andrade,Constructed 5,2019,Acrylic and colored pencil on canvas,34 × 32 in,2019,1980
Available for sale from Priscilla Fowler Fine Art,Dray,Melan8,2021,Acrylic on Paper,36 × 24 in,2021,1000
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Buffoon Amusing the Masses (Corporation Mansion),2016,Oil on board,24 × 24 in,2016,2500
Available for sale from Priscilla Fowler Fine Art,Dr. R,Untitled Love,2019,Acrylic on Canvas,30 × 40 in,2019,2200
Available for sale from Priscilla Fowler Fine Art,David Baird,Tearing the Veil #1,2019,Mixed media,15 × 22 in,2019,1200
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Tangerine,2020,Oil,30 × 40 in,2020,2600
Available for sale from Priscilla Fowler Fine Art,Priscilla Fowler,Red Duo I,2015,Ink on mylar,24 × 36 in,2015,1500
